timestamp,north_m,east_m,down_m,event,wp_index,wp_x,wp_y
1764143213.2226317,1.8060004711151123,0.7759796977043152,-0.8303037881851196,pre_waypoint_check,1,0,0
1764143214.2248092,1.3485407829284668,0.806065022945404,-2.0522267818450928,reached_waypoint,1,0,0
1764143214.7652726,0.8873205184936523,0.6679507493972778,-2.3914296627044678,pre_waypoint_check,2,0,10
1764143219.565762,0.2443503588438034,8.062372207641602,-2.9978408813476562,reached_waypoint,2,0,10
1764143220.0919783,0.14916259050369263,9.02500057220459,-3.0217151641845703,pre_waypoint_check,3,5,10
1764143222.6354635,2.753164052963257,9.879106521606445,-3.076770067214966,reached_waypoint,3,5,10
1764143223.175176,3.809997081756592,9.945199966430664,-3.0532379150390625,pre_waypoint_check,4,5,0
1764143226.698526,4.775772571563721,6.647473335266113,-3.005711793899536,avoided_at_start,4,5,0
1764143231.849911,4.891358375549316,2.2168052196502686,-2.9920687675476074,reached_waypoint,4,5,0
1764143232.3793218,4.929927349090576,1.2936609983444214,-2.9900426864624023,pre_waypoint_check,5,10,0
1764143235.0959902,7.654718399047852,0.568662703037262,-3.0073602199554443,reached_waypoint,5,10,0
1764143235.6221356,8.710719108581543,0.44098415970802307,-3.0158886909484863,pre_waypoint_check,6,10,10
1764143240.586945,9.66983699798584,8.037863731384277,-3.0986714363098145,reached_waypoint,6,10,10
1764143241.1266315,9.854948997497559,9.02018928527832,-3.1026530265808105,pre_waypoint_check,7,15,10
1764143243.8166287,12.811917304992676,9.7674560546875,-3.0887091159820557,reached_waypoint,7,15,10
1764143244.350895,13.84380054473877,9.835514068603516,-3.0532729625701904,pre_waypoint_check,8,15,0
1764143249.4871514,14.820290565490723,2.0642645359039307,-2.8967080116271973,reached_waypoint,8,15,0
1764143250.0199,14.942224502563477,1.095583438873291,-2.8928439617156982,pre_waypoint_check,9,20,0
1764143252.664632,17.707216262817383,0.43214428424835205,-2.900623083114624,reached_waypoint,9,20,0
1764143253.2019298,18.739286422729492,0.3459954559803009,-2.9032018184661865,pre_waypoint_check,10,20,10
1764143258.1849375,19.74616050720215,7.983128547668457,-3.019869804382324,reached_waypoint,10,20,10
